 25.03.2025.21:45 = 0 3 . (-..- (null) ...-) [(null) (null) (null)]
 PU1JNM = J N M (Juliett November Mike) [.--- -. --]
 PU1JON = J O N (Juliett Oscar November) [.--- --- -.]
 PU1JQE = J Q E (Juliett Quebec Echo) [.--- --.- .]
 PU1JQY = J Q Y (Juliett Quebec Yankee) [.--- --.- -.--]
 PU1JSL = J S L (Juliett Sierra Lima) [.--- ... .-..]
 PU1JUH = J U H (Juliett Uniform Hotel) [.--- ..- ....]
 PU1JUI = J U I (Juliett Uniform India) [.--- ..- ..]
 PU1JUM = J U M (Juliett Uniform Mike) [.--- ..- --]
 PU1JUP = J U P (Juliett Uniform Papa) [.--- ..- .--.]
 PU1JUR = J U R (Juliett Uniform Romeo) [.--- ..- .-.]
 PU1JUS = J U S (Juliett Uniform Sierra) [.--- ..- ...]
 PU1JUV = J U V (Juliett Uniform Victor) [.--- ..- ...-]
 PU1JUW = J U W (Juliett Uniform Whiskey) [.--- ..- .--]
 PU1JUZ = J U Z (Juliett Uniform Zulu) [.--- ..- --..]
 PU1JVA = J V A (Juliett Victor Alfa) [.--- ...- .-]
 PU1JVH = J V H (Juliett Victor Hotel) [.--- ...- ....]
 PU1JVM = J V M (Juliett Victor Mike) [.--- ...- --]
 PU1JVQ = J V Q (Juliett Victor Quebec) [.--- ...- --.-]
 PU1JVU = J V U (Juliett Victor Uniform) [.--- ...- ..-]
 PU1JVW = J V W (Juliett Victor Whiskey) [.--- ...- .--]
 PU1JVY = J V Y (Juliett Victor Yankee) [.--- ...- -.--]
 PU1JWE = J W E (Juliett Whiskey Echo) [.--- .-- .]
 PU1JWF = J W F (Juliett Whiskey Foxtrot) [.--- .-- ..-.]
 PU1JWH = J W H (Juliett Whiskey Hotel) [.--- .-- ....]
 PU1JWN = J W N (Juliett Whiskey November) [.--- .-- -.]
 PU1JWP = J W P (Juliett Whiskey Papa) [.--- .-- .--.]
 PU1JWQ = J W Q (Juliett Whiskey Quebec) [.--- .-- --.-]
 PU1JWU = J W U (Juliett Whiskey Uniform) [.--- .-- ..-]
 PU1JWV = J W V (Juliett Whiskey Victor) [.--- .-- ...-]
 PU1JWZ = J W Z (Juliett Whiskey Zulu) [.--- .-- --..]
 PU1JYG = J Y G (Juliett Yankee Golf) [.--- -.-- --.]
 PU1JYI = J Y I (Juliett Yankee India) [.--- -.-- ..]
 PU1JYN = J Y N (Juliett Yankee November) [.--- -.-- -.]
 PU1JYQ = J Y Q (Juliett Yankee Quebec) [.--- -.-- --.-]
 PU1JYR = J Y R (Juliett Yankee Romeo) [.--- -.-- .-.]
 PU1JYV = J Y V (Juliett Yankee Victor) [.--- -.-- ...-]
 PU1JYW = J Y W (Juliett Yankee Whiskey) [.--- -.-- .--]
 PU1JZC = J Z C (Juliett Zulu Charlie) [.--- --.. -.-.]
 PU1JZD = J Z D (Juliett Zulu Delta) [.--- --.. -..]
 PU1JZF = J Z F (Juliett Zulu Foxtrot) [.--- --.. ..-.]
 PU1JZG = J Z G (Juliett Zulu Golf) [.--- --.. --.]
 PU1JZH = J Z H (Juliett Zulu Hotel) [.--- --.. ....]
 PU1JZI = J Z I (Juliett Zulu India) [.--- --.. ..]
 PU1JZK = J Z K (Juliett Zulu Kilo) [.--- --.. -.-]
 PU1JZL = J Z L (Juliett Zulu Lima) [.--- --.. .-..]
 PU1JZO = J Z O (Juliett Zulu Oscar) [.--- --.. ---]
 PU1JZP = J Z P (Juliett Zulu Papa) [.--- --.. .--.]
 PU1JZQ = J Z Q (Juliett Zulu Quebec) [.--- --.. --.-]
 PU1JZS = J Z S (Juliett Zulu Sierra) [.--- --.. ...]
 PU1JZU = J Z U (Juliett Zulu Uniform) [.--- --.. ..-]
 PU1JZV = J Z V (Juliett Zulu Victor) [.--- --.. ...-]
 PU1JZY = J Z Y (Juliett Zulu Yankee) [.--- --.. -.--]
 PU1KAD = K A D (Kilo Alfa Delta) [-.- .- -..]
 PU1KAJ = K A J (Kilo Alfa Juliett) [-.- .- .---]
 PU1KAO = K A O (Kilo Alfa Oscar) [-.- .- ---]
 PU1KAQ = K A Q (Kilo Alfa Quebec) [-.- .- --.-]
 PU1KAS = K A S (Kilo Alfa Sierra) [-.- .- ...]
 PU1KAV = K A V (Kilo Alfa Victor) [-.- .- ...-]
 PU1KAW = K A W (Kilo Alfa Whiskey) [-.- .- .--]
 PU1KAY = K A Y (Kilo Alfa Yankee) [-.- .- -.--]
 PU1KBG = K B G (Kilo Bravo Golf) [-.- -... --.]
 PU1KBI = K B I (Kilo Bravo India) [-.- -... ..]
 PU1KBJ = K B J (Kilo Bravo Juliett) [-.- -... .---]
 PU1KBN = K B N (Kilo Bravo November) [-.- -... -.]
 PU1KBQ = K B Q (Kilo Bravo Quebec) [-.- -... --.-]
 PU1KBT = K B T (Kilo Bravo Tango) [-.- -... -]
 PU1KBU = K B U (Kilo Bravo Uniform) [-.- -... ..-]
 PU1KBV = K B V (Kilo Bravo Victor) [-.- -... ...-]
 PU1KBW = K B W (Kilo Bravo Whiskey) [-.- -... .--]
 PU1KBZ = K B Z (Kilo Bravo Zulu) [-.- -... --..]
 PU1KCD = K C D (Kilo Charlie Delta) [-.- -.-. -..]
 PU1KCG = K C G (Kilo Charlie Golf) [-.- -.-. --.]
 PU1KCH = K C H (Kilo Charlie Hotel) [-.- -.-. ....]
 PU1KCI = K C I (Kilo Charlie India) [-.- -.-. ..]
 PU1KCJ = K C J (Kilo Charlie Juliett) [-.- -.-. .---]
 PU1KCN = K C N (Kilo Charlie November) [-.- -.-. -.]
 PU1KCR = K C R (Kilo Charlie Romeo) [-.- -.-. .-.]
 PU1KCU = K C U (Kilo Charlie Uniform) [-.- -.-. ..-]
 PU1KCV = K C V (Kilo Charlie Victor) [-.- -.-. ...-]
 PU1KCW = K C W (Kilo Charlie Whiskey) [-.- -.-. .--]
 PU1KCY = K C Y (Kilo Charlie Yankee) [-.- -.-. -.--]
 PU1KCZ = K C Z (Kilo Charlie Zulu) [-.- -.-. --..]
 PU1KDA = K D A (Kilo Delta Alfa) [-.- -.. .-]
 PU1KDI = K D I (Kilo Delta India) [-.- -.. ..]
