CONVENÇÕES GEOLÓGICAS E GEOFÍSICAS PARA REPRESENTAÇÃO EM MAPAS GEOLÓGICOS,,,,,,,,
BYTECODE DECIMAL,UNICODE,"TAMANHO
  (points/mm)",,COR,NOMENCLATURA,CÓDIGO UTF-8,OBSERVAÇÕES/DESCRIÇÃO,NOME ARQUIVO OTF
205,U00CD,"17,01",6,PRETO 100%,Acamadamento,,,CPRM_Geology.otf
73,U0049,"17,01",6,PRETO 100%,Acamadamento horizontal,,,CPRM_Geology.otf
67,U0043,16,"5,64",PRETO 100%,Acamadamento ígneo,,,CPRM_Geology.otf
72,U0048,"14,17",5,PRETO 100%,Acamadamento ígneo horizontal,,,CPRM_Geology.otf
74,U004A,16,"5,64",PRETO 100%,Acamadamento ígneo vertical,,,CPRM_Geology.otf
84,U0054,"17,01",6,PRETO 100%,Acamadamento invertido,,,CPRM_Geology.otf
85,U0055,"17,01",6,PRETO 100%,Acamadamento vertical,,,CPRM_Geology.otf
116,U0074,"17,01",6,PRETO 100%,Acamadamento vulcanoclástico,,,CPRM_Geology.otf
114,U0072,17,"5,68",PRETO 100%,Acamadamento vulcanoclástico horizontal,,,CPRM_Geology.otf
249,U00F9,18,"6,35",PRETO 100%,Acamadamento vulcanoclástico vertical,,,CPRM_Geology.otf
58,U003A,"17,01",6,PRETO 100%,Acumulação de cristais,,,CPRM_Geology.otf
61,U003D,"17,01",6,PRETO 100%,Bandamento gnáissico,,,CPRM_Geology.otf
72,U0048,16,"5,64",PRETO 100%,Bandamento gnáissico horizontal,,,CPRM_Geology.otf
64,U0040,16,"5,64",PRETO 100%,Bandamento gnáissico vertical,,,CPRM_Geology.otf
60,U003C,"17,01","5,64",PRETO 100%,Bandamento milonítico,,,CPRM_Geology.otf
63,U003F,"17,01",6,PRETO 100%,Bandamento milonítico horizontal,,,CPRM_Geology.otf
62,U003E,"17,01",6,PRETO 100%,Bandamento milonítico vertical,,,CPRM_Geology.otf
45,U002D,"14,17",5,PRETO 100%,Brecha de falha,,,CPRM_Geology.otf
44,U002C,"14,17",5,PRETO 100%,Brecha hitrotermal,,,CPRM_Geology.otf
56,U0038,16,"5,64",PRETO 100%,Cavalgamento tipo duplex,,,CPRM_Geology.otf
193,U00C1,"17,01",6,PRETO 100%,Cavalgamento tipo leques imbricados,,,CPRM_Geology.otf
90,U005A,16,"5,64",PRETO 100%,Cavalgamento tipo pilha antiformal,,,CPRM_Geology.otf
91,U005B,16,"5,64",PRETO 100%,Cavalgamentos divergentes tipo pop up,,,CPRM_Geology.otf
189,U00BD,"17,01",6,PRETO 100%,Cavalgamentos tipo zona triangular,,,CPRM_Geology.otf
88,U0058,16,"5,64",PRETO 100%,Clivagem,,,CPRM_Geology.otf
88,U0058,16,"5,64",PRETO 100%,Clivagem ardosiana,,,CPRM_Geology.otf
89,U0059,"14,17",5,PRETO 100%,Clivagem ardosiana horizontal,,,CPRM_Geology.otf
87,U0057,16,"5,64",PRETO 100%,Clivagem ardosiana vertical,,,CPRM_Geology.otf
88,U0058,16,"5,64",PRETO 100%,Clivagem de crenulação,,,CPRM_Geology.otf
89,U0059,"14,17",5,PRETO 100%,Clivagem de crenulação horizontal,,,CPRM_Geology.otf
87,U0057,16,"5,64",PRETO 100%,Clivagem de crenulação vertical,,,CPRM_Geology.otf
88,U0058,16,"5,64",PRETO 100%,Clivagem de fratura,,,CPRM_Geology.otf
89,U0059,"17,01",6,PRETO 100%,Clivagem de fratura horizontal,,,CPRM_Geology.otf
87,U0057,16,"5,64",PRETO 100%,Clivagem de fratura vertical,,,CPRM_Geology.otf
206,U00CE,"17,01",6,PRETO 100%,Clivagem de solução por pressão,,,CPRM_Geology.otf
89,U0059,"14,17",5,PRETO 100%,Clivagem horizontal,,,CPRM_Geology.otf
87,U0057,16,"5,64",PRETO 100%,Clivagem vertical,,,CPRM_Geology.otf
52,U0034,10,"3,53",PRETO 100%,"Corpos intrusivos fora de escala: kimberlitos, carbonatitos",,,CPRM_Geology.otf
246,U00F6,11,"3,88",PRETO 100%,Depósito mineral,,,CPRM_Geology.otf
101,U0065,16,"5,64",PRETO 100%,Dobra aberta ,,Ângulo de 120° a 70°,CPRM_Geology.otf
101,U0065,16,"5,64",PRETO 100%,Dobra apertada,,Ângulo de 30° a 0°,CPRM_Geology.otf
102,U0066,16,"5,64",PRETO 100%,Dobra assimétrica,,,CPRM_Geology.otf
185,U00B9,16,"5,64",PRETO 100%,Dobra de arrasto,,,CPRM_Geology.otf
101,U0065,16,"5,64",PRETO 100%,Dobra desarmônica,,,CPRM_Geology.otf
101,U0065,16,"5,64",PRETO 100%,Dobra em leque,,,CPRM_Geology.otf
101,U0065,16,"5,64",PRETO 100%,Dobra fechada ,,Ângulo de 70° a 30°,CPRM_Geology.otf
250,U00FA,16,"5,64",PRETO 100%,Dobra horizontal,,,CPRM_Geology.otf
101,U0065,16,"5,64",PRETO 100%,Dobra inclinada,,,CPRM_Geology.otf
101,U0065,16,"5,64",PRETO 100%,Dobra intrafolial,,,CPRM_Geology.otf
101,U0065,16,"5,64",PRETO 100%,Dobra isoclinal,,Ângulo de 0°,CPRM_Geology.otf
101,U0065,16,"5,64",PRETO 100%,Dobra normal,,,CPRM_Geology.otf
101,U0065,16,"5,64",PRETO 100%,Dobra paralela,,,CPRM_Geology.otf
38,U0026,16,"5,64",PRETO 100%,Dobra parasítica tipo M,,,CPRM_Geology.otf
39,U0027,16,"5,64",PRETO 100%,Dobra parasítica tipo S,,,CPRM_Geology.otf
178,U00B2,16,"5,64",PRETO 100%,Dobra parasitica tipo Z,,,CPRM_Geology.otf
101,U0065,16,"5,64",PRETO 100%,Dobra ptigmática,,,CPRM_Geology.otf
166,U00A6,16,"5,64",PRETO 100%,Dobra reclinada,,,CPRM_Geology.otf
214,U00D6,16,"5,64",PRETO 100%,Dobra recumbente,,,CPRM_Geology.otf
101,U0065,16,"5,64",PRETO 100%,Dobra sem raiz,,,CPRM_Geology.otf
101,U0065,16,"5,64",PRETO 100%,Dobra similar,,,CPRM_Geology.otf
101,U0065,16,"5,64",PRETO 100%,Dobra simétrica,,,CPRM_Geology.otf
