CONVENÇÕES GEOLÓGICAS E GEOFÍSICAS PARA REPRESENTAÇÃO EM MAPAS GEOLÓGICOS,,,,,
BYTECODE DECIMAL,UNICODE,"SYMBOL SELECTOR
  (size)","TAMANHO
  (mm)",COR,DESCRIÇÃO
33,U0021,,"0,25 (traço)",PRETO 100%,Banda de cisalhamento transcorrente dextral (feição linear)
34,U0022,,"0,25 (traço)",PRETO 100%,Banda de cisalhamento transcorrente sinistral (feição linear)
35,U0023,,"0,25 (traço)",PRETO 100%,Banda de cisalhamento transcorrente dextral (feição linear)
36,U0024,,"0,25 (traço)",PRETO 100%,Banda de cisalhamento transcorrente sinistral (feição linear)
37,U0025,,"0,25 (traço)",PRETO 100%,Banda de cisalhamento (feição linear)
205,U00CD,"17,01",6,PRETO 100%,Acamadamento
73,U0049,"17,01",6,PRETO 100%,Acamadamento horizontal
67,U0043,"17,01",6,PRETO 100%,Acamadamento ígneo
72,U0048,"14,17",5,PRETO 100%,Acamadamento ígneo horizontal
74,U004A,"17,01",6,PRETO 100%,Acamadamento ígneo vertical
84,U0054,"17,01",6,PRETO 100%,Acamadamento invertido
85,U0055,"17,01",6,PRETO 100%,Acamadamento vertical
116,U0074,"22,68",8,PRETO 100%,Acamadamento vulcanoclástico
114,U0072,18,"6,35",PRETO 100%,Acamadamento vulcanoclástico horizontal
249,U00F9,16,"5,64",PRETO 100%,Acamadamento vulcanoclástico vertical
58,U003A,"17,01",6,PRETO 100%,Acumulação de cristais
61,U003D,"17,01",6,PRETO 100%,Bandamento gnáissico
72,U0048,"17,01",6,PRETO 100%,Bandamento gnáissico horizontal
64,U0040,"17,01",6,PRETO 100%,Bandamento gnáissico vertical
60,U003C,"17,01",6,PRETO 100%,Bandamento milonítico
63,U003F,"17,01",6,PRETO 100%,Bandamento milonítico horizontal
62,U003E,"17,01",6,PRETO 100%,Bandamento milonítico vertical
45,U002D,"14,17",5,PRETO 100%,Brecha de falha
44,U002C,"14,17",5,PRETO 100%,Brecha hitrotermal
56,U0038,"17,01",6,PRETO 100%,Cavalgamento tipo duplex
193,U00C1,"17,01",6,PRETO 100%,Cavalgamento tipo leques imbricados
90,U005A,"17,01",6,PRETO 100%,Cavalgamento tipo pilha antiformal
91,U005B,"17,01",6,PRETO 100%,Cavalgamentos divergentes tipo pop up
189,U00BD,"17,01",6,PRETO 100%,Cavalgamentos tipo zona triangular
88,U0058,"17,01",6,PRETO 100%,Clivagem
88,U0058,"17,01",6,PRETO 100%,Clivagem ardosiana
89,U0059,"14,17",5,PRETO 100%,Clivagem ardosiana horizontal
87,U0057,"17,01",6,PRETO 100%,Clivagem ardosiana vertical
88,U0058,"17,01",6,PRETO 100%,Clivagem de crenulação
89,U0059,"14,17",5,PRETO 100%,Clivagem de crenulação horizontal
87,U0057,"17,01",6,PRETO 100%,Clivagem de crenulação vertical
88,U0058,"17,01",6,PRETO 100%,Clivagem de fratura
89,U0059,"14,17",5,PRETO 100%,Clivagem de fratura horizontal
87,U0057,"17,01",6,PRETO 100%,Clivagem de fratura vertical
206,U00CE,"17,01",6,PRETO 100%,Clivagem de solução por pressão
89,U0059,"14,17",5,PRETO 100%,Clivagem horizontal
87,U0057,"17,01",6,PRETO 100%,Clivagem vertical
